timestamp,EAR,eye_closure_duration,yaw,pitch,roll,abs_yaw,abs_pitch,head_movement,phone_detected,phone_confidence,driver_state,Drowsy_Event,Distracted_Event,Phone_Usage_Event,Alert_Event
2026-09-13T20:17:18.937767,0.1958,0.544,14.292,7.098,-26.625,14.292,7.098,5.999,0,0.0,Phone_Usage,0,0,1,0
2026-09-13T20:17:20.240503,0.3204,0.0,18.636,4.46,-24.747,18.636,4.46,10.363,1,0.472,Phone_Usage,0,0,1,0
2026-09-13T20:17:21.554422,0.2679,0.0,18.341,-5.231,-9.935,18.341,5.231,18.096,1,0.442,Phone_Usage,0,0,1,0
2026-09-13T20:17:22.854081,0.2125,0.0,12.073,-4.329,-7.983,12.073,4.329,10.97,0,0.0,Phone_Usage,0,0,1,0
2026-09-13T20:17:24.162280,0.2464,0.26,-0.725,-9.213,2.61,0.725,9.213,7.814,0,0.0,Phone_Usage,0,0,1,0
2026-09-13T20:17:25.452849,0.2577,0.0,-0.166,-2.004,1.54,0.166,2.004,0.92,1,0.582,Phone_Usage,0,0,1,0
2026-09-13T20:17:26.749132,0.2687,0.0,0.547,-0.475,0.33,0.547,0.475,0.191,0,0.0,Phone_Usage,0,0,1,0
2026-09-13T20:17:28.055065,0.2348,0.262,24.086,-19.623,-1.379,24.086,19.623,12.091,0,0.0,Phone_Usage,0,0,1,0
2026-09-13T20:17:29.382818,0.2461,0.0,25.533,-20.192,-0.493,25.533,20.192,0.536,0,0.0,Phone_Usage,0,0,1,0
2026-09-13T20:17:30.662058,0.1967,0.257,18.747,-14.112,-3.766,18.747,14.112,5.0,0,0.0,Phone_Usage,0,0,1,0
